"PSM.Score","rf"
170.9468,"hs0100.raw"
325.0853,"hs0100.raw"
211.6914,"hs0100.raw"
114.5499,"hs0100.raw"
312.1177,"hs0100.raw"
101.5637,"hs0100.raw"
191.3056,"hs0100.raw"
284.065,"hs0100.raw"
218.0112,"hs0100.raw"
303.1424,"hs0100.raw"
135.8687,"hs0100.raw"
219.3221,"hs0100.raw"
200.8975,"hs0100.raw"
295.2811,"hs0100.raw"
261.7467,"hs0100.raw"
350,"hs0100.raw"
202.1201,"hs0100.raw"
170.035,"hs0100.raw"
218.3866,"hs0100.raw"
177.9176,"hs0100.raw"
319.9139,"hs0100.raw"
188.3157,"hs0100.raw"
350,"hs0100.raw"
269.5276,"hs0100.raw"
350,"hs0100.raw"
308.0197,"hs0100.raw"
201.3432,"hs0100.raw"
271.5673,"hs0100.raw"
288.7688,"hs0100.raw"
270.8214,"hs0100.raw"
188.3157,"hs0100.raw"
270.3281,"hs0100.raw"
226.6035,"hs0100.raw"
214.5075,"hs0100.raw"
230.5442,"hs0100.raw"
276.5389,"hs0100.raw"
142.1928,"hs0100.raw"
212.9479,"hs0100.raw"
157.6974,"hs0100.raw"
350,"hs0100.raw"
217.9524,"hs0100.raw"
350,"hs0100.raw"
248.8382,"hs0100.raw"
252.1496,"hs0100.raw"
313.4492,"hs0100.raw"
211.4145,"hs0100.raw"
226.2152,"hs0100.raw"
202.1201,"hs0100.raw"
167.041,"hs0100.raw"
228.8843,"hs0100.raw"
129.0996,"hs0100.raw"
279.9566,"hs0100.raw"
281.107,"hs0100.raw"
246.4611,"hs0100.raw"
164.2711,"hs0100.raw"
260.6343,"hs0100.raw"
152.345,"hs0100.raw"
350,"hs0100.raw"
194.5696,"hs0100.raw"
243.0316,"hs0100.raw"
141.8289,"hs0100.raw"
214.2708,"hs0100.raw"
290.7449,"hs0100.raw"
266.7846,"hs0100.raw"
172.1263,"hs0100.raw"
295.9132,"hs0100.raw"
334.5802,"hs0100.raw"
269.2921,"hs0100.raw"
198.4175,"hs0100.raw"
150.556,"hs0100.raw"
254.5049,"hs0100.raw"
311.8799,"hs0100.raw"
212.3792,"hs0100.raw"
235.3332,"hs0100.raw"
202.4063,"hs0100.raw"
262.8064,"hs0100.raw"
262.8064,"hs0100.raw"
155.2265,"hs0100.raw"
350,"hs0100.raw"
202.1201,"hs0100.raw"
348.1994,"hs0100.raw"
119.8125,"hs0100.raw"
313.4492,"hs0100.raw"
267.2697,"hs0100.raw"
190.6289,"hs0100.raw"
242.2858,"hs0100.raw"
271.5958,"hs0100.raw"
209.7559,"hs0100.raw"
350,"hs0100.raw"
271.9157,"hs0100.raw"
301.9431,"hs0100.raw"
157.1358,"hs0100.raw"
313.4492,"hs0100.raw"
232.4577,"hs0100.raw"
144.8343,"hs0100.raw"
133.3746,"hs0100.raw"
196.1326,"hs0100.raw"
243.0316,"hs0100.raw"
273.0135,"hs0100.raw"
350,"hs0100.raw"
150.3254,"hs0100.raw"
206.4643,"hs0100.raw"
112.3435,"hs0100.raw"
148.7861,"hs0100.raw"
124.4432,"hs0100.raw"
157.6974,"hs0100.raw"
303.1424,"hs0100.raw"
342.2632,"hs0100.raw"
227.53,"hs0100.raw"
160.2858,"hs0100.raw"
293.8784,"hs0100.raw"
175.6875,"hs0100.raw"
235.164,"hs0100.raw"
202.1201,"hs0100.raw"
271.9157,"hs0100.raw"
290.5507,"hs0100.raw"
174.2473,"hs0100.raw"
275.7043,"hs0100.raw"
228.6627,"hs0100.raw"
164.2895,"hs0100.raw"
195.3504,"hs0100.raw"
319.3779,"hs0100.raw"
262.8064,"hs0100.raw"
235.9556,"hs0100.raw"
276.5464,"hs0100.raw"
276.5464,"hs0100.raw"
178.1799,"hs0100.raw"
297.6369,"hs0100.raw"
182.0579,"hs0100.raw"
162.8638,"hs0100.raw"
235.9731,"hs0100.raw"
299.2849,"hs0100.raw"
157.976,"hs0100.raw"
224.0826,"hs0100.raw"
200.8975,"hs0100.raw"
254.2921,"hs0100.raw"
328.1186,"hs0100.raw"
174.2473,"hs0100.raw"
328.1186,"hs0100.raw"
345.1491,"hs0100.raw"
126.431,"hs0100.raw"
222.2304,"hs0100.raw"
313.8732,"hs0100.raw"
250.8034,"hs0100.raw"
196.1326,"hs0100.raw"
276.5464,"hs0100.raw"
254.5049,"hs0100.raw"
162.7656,"hs0100.raw"
167.041,"hs0100.raw"
231.242,"hs0100.raw"
313.4492,"hs0100.raw"
328.1186,"hs0100.raw"
220.7101,"hs0100.raw"
198.1503,"hs0100.raw"
123.8366,"hs0100.raw"
119.1752,"hs0100.raw"
124.4432,"hs0100.raw"
186.8488,"hs0100.raw"
276.5464,"hs0100.raw"
248.0132,"hs0100.raw"
124.6762,"hs0100.raw"
247.5585,"hs0100.raw"
214.8744,"hs0100.raw"
204.1243,"hs0100.raw"
167.9459,"hs0100.raw"
183.7257,"hs0100.raw"
191.3056,"hs0100.raw"
266.4936,"hs0100.raw"
226.2152,"hs0100.raw"
337.3954,"hs0100.raw"
79.29954,"hs0100.raw"
297.6369,"hs0100.raw"
200.4565,"hs0100.raw"
248.8382,"hs0100.raw"
262.8064,"hs0100.raw"
313.4492,"hs0100.raw"
286.8986,"hs0100.raw"
295.2944,"hs0100.raw"
218.761,"hs0100.raw"
239.5083,"hs0100.raw"
300.2906,"hs0100.raw"
228.6486,"hs0100.raw"
231.6387,"hs0100.raw"
106.5563,"hs0100.raw"
138.4062,"hs0100.raw"
144.9651,"hs0100.raw"
208.2227,"hs0100.raw"
200.4565,"hs0100.raw"
295.9132,"hs0100.raw"
239.8202,"hs0100.raw"
350,"hs0100.raw"
350,"hs0100.raw"
350,"hs0100.raw"
228.6486,"hs0100.raw"
145.1744,"hs0100.raw"
211.6914,"hs0100.raw"
295.9132,"hs0100.raw"
207.7523,"hs0100.raw"
203.1107,"hs0100.raw"
268.427,"hs0100.raw"
239.5083,"hs0100.raw"
229.8118,"hs0100.raw"
164.3352,"hs0100.raw"
254.3494,"hs0100.raw"
209.0829,"hs0100.raw"
298.4566,"hs0100.raw"
228.6627,"hs0100.raw"
182.0579,"hs0100.raw"
244.8035,"hs0100.raw"
167.9382,"hs0100.raw"
228.625,"hs0100.raw"
104.0105,"hs0100.raw"
316.2723,"hs0100.raw"
278.8923,"hs0100.raw"
270.3383,"hs0100.raw"
255.8484,"hs0100.raw"
196.1326,"hs0100.raw"
141.3764,"hs0100.raw"
147.555,"hs0100.raw"
283.2971,"hs0100.raw"
214.8744,"hs0100.raw"
229.2191,"hs0100.raw"
278.8923,"hs0100.raw"
236.673,"hs0100.raw"
298.4566,"hs0100.raw"
